minute,s1_midterm 2_BVP,s2_midterm 2_BVP,s3_midterm 2_BVP,s4_midterm 2_BVP,s5_midterm 2_BVP,s6_midterm 2_BVP,s7_midterm 2_BVP,s8_midterm 2_BVP,s9_midterm 2_BVP,s10_midterm 2_BVP,test_progress,avg_BVP
0,0.0021432291666667416,-7.37,-4.92,19.780000000000005,113.14,-51.01,33.89,-59.62,-8.09,-39.43999999999999,0.0,-0.3637856770833302
1,2.604166666666403e-05,15.390000000000002,10.52,0.5,-20.88,-71.12000000000002,21.17,111.81,14.28,6.62,0.011111111111111112,8.829002604166666
2,-0.15353385416666668,-8.83,-3.52,-50.6,-48.6,-39.09,4.51,40.61,-15.890000000000002,-23.46,0.022222222222222223,-14.502353385416669
3,0.059684895833333314,-83.4,-11.43,6.98,-654.6,194.62,19.23,25.05,-32.79,0.78,0.03333333333333333,-53.55003151041667
4,0.03434375,6.429999999999999,-10.56,-2.67,5.44,-0.05,101.73,62.93,-2.17,-46.49,0.044444444444444446,11.462434375
5,0.24217708333333335,-5.84,0.0,72.22,97.9,-44.82,1.55,57.21,4.5,-6.16,0.05555555555555555,17.680217708333334
6,-0.2272890625000001,-24.92,0.0,-19.89,164.71,39.17,5.52,-4.06,-18.33,-7.91,0.06666666666666667,13.406271093749998
7,0.07079947916666667,-23.85,-184.82,-38.5,22.33,-18.62,38.36,-8.39,30.26,-17.65,0.07777777777777778,-20.080920052083336
8,-0.03565104166666666,-9.73,0.0,-26.74,40.01,-172.16,-34.7,43.43,-19.59,-18.74,0.08888888888888889,-19.825565104166664
9,0.08654947916666673,23.34,0.0,-29.54,19.18,-125.3,-54.29,-11.91,-10.19,-1.75,0.1,-19.03734505208333
10,-0.08770312500000008,139.52,0.0,3.44,-8.46,49.02,7.79,14.75,20.98,-0.32,0.1111111111111111,22.6632296875
11,0.6883072916666666,13.96,0.0,-53.48,1.28,0.16,14.4,-32.79,47.6,-41.18999999999999,0.12222222222222222,-4.937169270833332
12,-0.6801145833333333,-3.64,0.0,-3.5899999999999994,-5.29,1.89,1.56,-88.45,0.8,0.86,0.13333333333333333,-9.654011458333333
13,0.0038932291666666703,-376.8,0.0,2.64,1.34,-3.31,-0.51,4.23,-6.44,-12.92,0.14444444444444443,-39.17661067708333
14,0.0018281250000000092,-1.9,-2.31,-32.87,2.79,1.88,12.26,-0.17,-6.17,7.4,0.15555555555555556,-1.9088171875
15,5.9895833333338073e-05,5.94,-4.0,13.65,-91.33,4.18,-6.62,3.9100000000000006,6.94,-14.1,0.16666666666666666,-8.142994010416666
16,-0.008184895833333341,2.35,22.44,-441.47,-74.92,29.14,-6.81,-4.63,8.97,-8.3,0.17777777777777778,-47.32381848958334
17,-0.0005286458333333486,0.04,61.78,-188.58,-46.75,-10.16,2.86,-4.46,8.29,-5.05,0.18888888888888888,-18.203052864583334
18,0.004533854166666672,-7.4,0.11,26.37,-15.18,-33.05,-4.73,2.32,-3.42,-0.94,0.2,-3.591546614583333
19,-0.005200520833333329,-6.8,-40.34,-114.84,82.87999999999998,-11.01,-3.08,-1.19,-4.59,19.75,0.2111111111111111,-7.922520052083335
20,0.012286458333333338,1.11,237.82,-69.15,87.24,19.969999999999995,-3.61,3.76,-1.02,2.51,0.2222222222222222,27.86422864583333
21,-0.0018489583333333316,0.11,-17.62,-142.09,-88.16,0.9599999999999999,-1.55,4.570000000000001,36.24,-2.8,0.23333333333333334,-21.034184895833334
22,-0.0057656250000000025,8.91,16.58,37.14,21.38,-0.33,7.58,7.41,14.91,-4.71,0.24444444444444444,10.8864234375
23,-0.003109375000000004,-19.82,135.07,-13.640000000000002,0.45,5.71,21.02,3.44,-58.11,-11.05,0.25555555555555554,6.3066890624999985
24,0.010023437499999992,-16.95,262.16,1.3300000000000003,8.63,-10.83,6.6,-10.58,-6.44,19.56,0.26666666666666666,25.34900234375
25,-0.005091145833333346,-2.38,34.39,206.79,10.18,1.59,-9.109999999999998,-4.33,1.26,1.2,0.2777777777777778,23.958490885416666
26,0.0005494791666666706,30.36,-120.87000000000002,-63.75,-15.85,21.73,-2.68,-11.05,41.22,2.83,0.28888888888888886,-11.805945052083338
27,-0.008544270833333338,5.3,82.43,40.9,7.820000000000001,-25.32,-2.13,8.03,123.52,0.76,0.3,24.130145572916668
28,0.0050911458333333355,2.6,32.03,-90.28,16.41,-9.17,-8.5,-2.74,-4.87,1.41,0.3111111111111111,-6.310490885416667
29,0.017294270833333347,82.58,-21.1,128.23,15.96,-18.92,4.07,-1.12,-210.39,4.07,0.32222222222222224,-1.6602705729166694
30,-0.011296874999999996,70.25,-18.46,58.75,-22.030000000000005,-12.69,6.25,4.02,-1.89,7.35,0.3333333333333333,9.153870312499999
31,-0.004046874999999994,-53.4,-77.94,-51.88,-12.52,0.29,-5.14,-0.29,315.18,14.93,0.34444444444444444,12.922595312500002
32,-0.0017291666666666794,8.99,36.68999999999999,30.0,-15.7,9.17,0.8,8.21,-27.969999999999995,-1.34,0.35555555555555557,4.884827083333332
33,0.19685156250000013,60.29,408.2300000000001,294.22,15.72,-15.79,0.89,11.140000000000002,-18.69,100.77,0.36666666666666664,85.69768515625
34,0.17284635416666677,-11.6,11.609999999999998,26.83,4.55,115.39,-3.28,-1.35,15.48,-25.04,0.37777777777777777,13.276284635416667
35,-0.5600156249999998,7.83,-21.219999999999995,-374.37,-11.55,-38.02,363.81,-4.97,78.05,-74.94,0.3888888888888889,-7.594001562499999
36,0.7629739583333335,-61.32,67.68,4.12,-0.7,-13.359999999999998,-6.14,-8.97,22.43,8.31,0.4,1.2812973958333342
37,-0.49083854166666663,-1.23,43.23,123.03,10.07,22.89,-46.93999999999999,8.68,-58.93999999999999,-484.34,0.4111111111111111,-38.404083854166664
38,0.032770833333333374,-7.44,46.06000000000001,142.93,-10.05,-26.19,30.7,9.75,20.68,79.57,0.4222222222222222,28.60427708333333
39,-0.20360937500000006,0.89,-102.89,-56.76,-19.0,-120.62000000000002,9.62,130.08,-6.28,-2.73,0.43333333333333335,-16.7893609375
40,0.2675052083333334,-26.68,-297.37,4.71,14.74,-8.08,7.04,14.92,-38.63,3.9100000000000006,0.4444444444444444,-32.517249479166665
41,-0.18453906249999993,-21.2,41.92,-12.640000000000002,5.21,22.84,-12.55,-147.06,-14.5,92.99,0.45555555555555555,-4.517453906250002
42,-0.12973958333333332,5.85,-3.12,111.66,-9.29,0.7900000000000001,-38.08,83.59,-22.69,-3.25,0.4666666666666667,12.533026041666668
43,0.11166927083333346,-12.52,50.36,-16.24,54.32,21.61,-0.57,6.13,39.02,12.75,0.4777777777777778,15.497166927083333
44,0.07207291666666663,18.2,115.59,67.35,34.98,-551.37,-79.55,109.78,109.66,-9.95,0.4888888888888889,-18.52379270833333
45,0.12251822916666666,-18.77,100.87999999999998,-36.61,22.73,-10.84,-864.38,-19.92,-305.32,-10.56,0.5,-114.26674817708333
46,-0.13939322916666663,-14.71,239.54,-42.99,10.42,64.35,45.98,61.97,30.93,-5.03,0.5111111111111111,39.03206067708333
47,-0.04725781250000003,93.85,-144.15,11.41,-8.56,-17.46,1.21,26.85,4.64,1.98,0.5222222222222223,-3.0277257812500014
48,0.0018463541666666518,-1.19,-12.109999999999998,46.68999999999999,5.28,-10.04,-118.66,-4.16,-6.04,0.74,0.5333333333333333,-9.948815364583334
49,-0.004257812499999993,-0.51,-49.5,-98.48,-19.2,3.22,-9.74,39.11,-5.66,-87.14,0.5444444444444444,-22.79042578125
50,-0.2206380208333333,3.07,-42.0,154.28,-0.1,-8.53,0.14,-77.06,6.63,-13.21,0.5555555555555556,2.2999361979166677
51,0.34225,29.469999999999995,-805.99,23.06,2.36,-2.32,24.19,145.18,-4.34,3.36,0.5666666666666667,-58.46877500000001
52,-0.05386197916666666,3.76,693.4,143.6,-24.62,52.45,19.49,-227.12,231.15,-33.68,0.5777777777777777,85.83761380208334
53,-0.018567708333333356,-0.82,0.82,66.61,17.55,22.43,22.87,-83.85,-28.280000000000005,2.92,0.5888888888888889,2.023143229166667
54,0.01773958333333335,-3.75,0.37,48.93999999999999,8.2,-1.76,17.52,-50.42,-72.86,21.07,0.6,-3.2672260416666665
55,-0.01650000000000003,7.52,7.67,60.48,5.91,1.1,-98.84,73.89,-23.42,3.7,0.6111111111111112,3.7993499999999982
56,-0.004354166666666674,21.030000000000005,2.08,-199.17,-4.74,26.66,259.42,-77.81,120.45,-14.06,0.6222222222222222,13.385564583333338
57,-0.03455208333333334,4.55,-77.72,-72.46,-30.09,2.26,725.44,-126.72,4.87,8.0,0.6333333333333333,43.80954479166667
58,0.008619791666666661,1.54,-16.24,8.98,-1.87,2.87,-2.23,-48.32,40.39,6.78,0.6444444444444445,-0.8091380208333334
59,-0.00670312500000003,12.390000000000002,-9.2,-468.2300000000001,-18.86,19.54,-33.03,-20.24,-17.01,20.84,0.6555555555555556,-51.3806703125
60,-0.05400520833333332,-1.66,-62.2,-115.64,-1.76,6.81,8.24,62.4,8.78,-14.29,0.6666666666666666,-10.93740052083333
61,0.08738020833333332,-27.13,-12.23,55.25,-24.61,-23.219999999999995,-539.83,65.16,22.87,-28.34,0.6777777777777778,-51.19926197916668
62,-0.012789062500000007,0.4,-13.26,-185.45,32.86,5.7,35.18,120.47,-42.84,6.26,0.6888888888888889,-4.069278906250002
63,0.051453125,0.9,-15.84,-64.02,-12.63,7.22,-43.88,201.95,-22.38,194.57,0.7,24.594145312499997
64,-0.10780468749999998,-4.05,7.34,11.12,-5.0,-19.67,100.71,-36.4,-40.54,49.02,0.7111111111111111,6.24221953125
65,0.177578125,-34.11,-122.11,218.33,35.64,-0.51,132.52,199.47,3.67,50.71,0.7222222222222222,48.3787578125
66,-0.2238541666666666,13.8,-7.320000000000001,-20.45,-25.43,-6.91,-62.5,-152.31,-11.97,-93.44,0.7333333333333333,-36.67538541666667
67,0.060684895833333335,-19.99,-0.53,15.01,7.75,27.77,-222.41,69.65,469.83,13.77,0.7444444444444445,36.09106848958333
68,0.041367187500000006,-14.17,46.43999999999999,150.16,-15.0,-12.85,-17.94,-19.07,6.77,35.65,0.7555555555555555,16.00313671875
69,0.006476562499999991,-59.7,-2.45,-13.87,-8.03,15.24,-2.92,-30.030000000000005,-81.87999999999998,-24.57,0.7666666666666667,-20.82035234375
70,-0.04275781250000002,-147.12,-37.96,-359.54,192.97,-39.42,-16.85,74.48,-47.04,-2.5899999999999994,0.7777777777777778,-38.31127578125001
71,-0.01167447916666668,76.79,-51.45,11.96,8.53,2.32,-1.07,-14.08,2.75,13.75,0.7888888888888889,4.948832552083333
72,-0.020447916666666698,63.61,3.04,0.56,-7.04,-11.24,-383.2,62.88,10.27,-99.3,0.8,-36.04404479166667
73,-0.0225807291666667,-58.93999999999999,-8.58,6.79,-72.83,9.51,-55.2,-512.16,-16.91,10.21,0.8111111111111111,-69.81325807291665
74,0.08586458333333333,3.69,-22.62,-73.44,-27.79,-4.51,-152.34,-49.32,76.24,-7.98,0.8222222222222222,-25.79841354166667
75,-0.06470312499999996,-5.33,49.18999999999999,-59.71,9.81,3.13,48.84,-152.58,-0.38,-24.18,0.8333333333333334,-13.127470312500003
76,0.4905651041666667,-0.01,-294.18,-185.9,-33.6,0.51,-290.4,-143.88,-47.9,6.679999999999999,0.8444444444444444,-98.81894348958335
77,-0.3998854166666666,-2.3399999999999994,-3.39,-115.78,33.79,-7.24,-191.59,275.44,-57.95,8.46,0.8555555555555555,-6.0999885416666695
78,-0.10870572916666665,-16.85,145.42,32.11,-26.71,-12.67,-96.62000000000002,48.52,28.38,-65.44,0.8666666666666667,3.6031294270833314
79,-0.22590885416666664,4.320000000000001,3.61,98.71,171.12,-15.3,35.85,45.39,-18.42,12.73,0.8777777777777778,33.77840911458333
80,0.25683593750000006,1.26,59.79,-51.83,-29.57,84.57,-30.86,29.46,-37.02,9.82,0.8888888888888888,3.5876835937499996
81,0.06765624999999999,-74.21,-19.36,71.21,2.27,11.390000000000002,-734.37,14.69,-17.7,11.37,0.9,-73.464234375
82,0.10145833333333334,-37.05,-7.79,-592.86,22.84,15.37,32.55,-56.25,51.42,72.52,0.9111111111111111,-49.91485416666668
83,-0.13323437499999993,-4.86,7.52,11.04,-4.36,-16.4,-189.62,128.78,143.31,3.33,0.9222222222222223,7.860676562499999
84,0.017091145833333318,-69.39,15.66,17.969999999999995,34.84,3.51,-17.02,-218.35,9.63,21.57,0.9333333333333333,-20.156290885416666
85,0.04905729166666668,-4.7,-25.92,24.17,-16.7,32.39,-61.86,-255.38,-0.29,24.34,0.9444444444444444,-28.390094270833337
86,0.0242708333333333,2.04,-126.46,-70.85,-120.12999999999998,-7.16,-1.36,-306.08,-17.77,-1.82,0.9555555555555556,-64.95657291666667
87,-0.13815885416666662,15.38,17.780000000000005,4.65,50.59,4.49,97.34,263.11,-21.57,-30.69,0.9666666666666667,40.094184114583335
88,0.26794270833333333,7.47,122.19,198.02,22.280000000000005,7.95,83.15,2.49,-29.54,-55.18999999999999,0.9777777777777777,35.90879427083333
89,-0.4905807291666667,9.51,9.109999999999998,55.01,8.43,-17.29,8.55,13.43,-92.37000000000002,31.4,0.9888888888888889,2.5289419270833298
90,0.3372161458333333,97.29,48.62,-30.55,9.99,-1.77,-107.73,-27.76,17.88,6.05,1.0,1.235721614583333
